ID	Cluster	Log price (1 billion VND)	Log area (square meters)	Log usable area (square meters)	Rooms	Bedrooms	WC	Number of floors	Parking	For rent	Facade	Infrastructure	Features	Latitude	Longitude	Distance to center	Log usable area cat
1677	3	1.3737155789130306	3.4965075614664802	5.10594547390058	7.0	3.0	4.0	5.0	0	0	1	1	2	20.99227	105.8526119	5.172487658658045	3
1678	3	2.0541237336955462	3.912023005428146	5.521460917862246	8.0	4.0	4.0	5.0	1	0	1	1	3	20.9738946	105.7764971	6.382485611925062	3
1679	2	1.208960345836975	4.31748811353631	5.0106352940962555	5.0	3.0	2.0	2.0	1	0	0	1	2	16.0482589	108.1754804	12.559454383604875	2
1680	3	1.9459101490553132	3.912023005428146	5.298317366548036	8.0	4.0	4.0	4.0	1	0	0	1	2	20.9946266	105.820083	2.9457539497311873	3
1681	1	0.8285518175661483	3.5263605246161616	4.624972813284271	7.0	4.0	3.0	3.0	1	0	0	1	2	10.8076745	106.6937356	1.3380226805730382	2
1682	1	1.589235205116581	4.0943445622221	5.049856007249537	7.0	3.0	4.0	2.0	0	0	0	1	1	10.8400858	106.7162539	5.181715754587537	3
1683	1	2.468099531471619	4.852030263919617	4.852030263919617	2.0	1.0	1.0	1.0	1	0	0	0	1	10.7497134	106.628909	8.69081946149851	2
1684	3	1.5040773967762742	3.912023005428146	5.298317366548036	8.0	4.0	4.0	4.0	1	1	0	1	3	21.0379862	105.7737345	4.508654555570675	3
1685	1	1.62924053973028	4.127134385045092	5.225746673713202	8.0	4.0	4.0	3.0	0	0	0	1	1	10.7916685	106.6052572	8.53244899883833	3
1686	3	3.044522437723423	4.382026634673881	5.768320995793772	8.0	4.0	4.0	4.0	0	0	1	0	1	21.0237144	105.8491871	3.797951159134443	3
1687	1	1.589235205116581	4.248495242049359	4.941642422609304	7.0	5.0	2.0	2.0	1	0	0	1	2	10.8204777	106.6941029	1.9260103198372813	2
1688	1	1.916922612182061	4.356708826689592	5.455321115357702	8.0	4.0	4.0	3.0	1	0	0	1	2	10.7872299	106.6013292	9.066946586757837	3
1689	1	1.589235205116581	3.9889840465642745	5.598421958998375	8.0	4.0	4.0	5.0	1	0	0	1	2	10.8181669	106.6338749	5.315303121966867	3
1690	1	1.3001916620664788	4.04305126783455	4.736198448394496	8.0	4.0	4.0	2.0	0	0	0	1	1	10.8053283	106.6822515	0.3465772587193777	2
1691	1	1.5260563034950492	4.1588830833596715	5.114394528387108	6.0	4.0	2.0	2.0	1	0	0	0	1	10.875531	106.743485	10.080106846508967	3
1692	1	1.4586150226995167	4.653960350157523	5.3471075307174685	7.0	4.0	3.0	2.0	0	0	0	0	0	10.8163076	106.7203976	4.338902179588082	3
1693	1	1.095273387402595	2.995732273553991	4.0943445622221	8.0	4.0	4.0	3.0	1	0	0	1	2	10.8462468	106.6759358	4.2567662945497275	2
1694	3	1.2237754316221157	3.5553480614894135	5.1647859739235145	14.0	7.0	7.0	5.0	0	1	1	1	3	20.9840997	105.7999219	4.233446459997566	3
1695	3	1.308332819650179	3.4339872044851463	5.043425116919247	7.0	3.0	4.0	5.0	1	1	1	1	4	21.007006	105.7831221	3.4122058935706048	3
1696	3	2.174751721484161	3.58351893845611	4.969813299576001	8.0	4.0	4.0	4.0	0	0	0	1	1	20.989171	105.7835348	4.598535095546176	2
1697	3	1.6639260977181702	4.060443010546419	5.66988092298052	14.0	8.0	6.0	5.0	1	0	1	1	3	20.9918099	105.7625361	6.098788080913961	3
1698	3	1.3862943611198906	3.6375861597263857	4.736198448394496	8.0	4.0	4.0	3.0	1	0	0	1	2	21.0102107	105.7987586	1.8333115979650159	2
1699	1	2.8622008809294686	4.0943445622221	4.787491742782046	6.0	4.0	2.0	2.0	1	0	0	0	1	10.8830404	106.7264125	9.644402555434933	2
1700	1	2.2823823856765264	5.19295685089021	5.886104031450156	7.0	4.0	3.0	2.0	1	0	0	1	2	10.8477642	106.7489953	8.57505928063216	3
1701	3	2.0014800002101243	3.8066624897703196	3.8066624897703196	8.0	4.0	4.0	1.0	1	1	0	1	3	20.999591	105.8081092	2.345529672622704	1
1702	1	1.3862943611198906	3.9889840465642745	4.68213122712422	5.0	3.0	2.0	2.0	0	0	1	0	1	10.7568285	106.7454745	9.036359496521497	2
1703	1	3.258096538021482	5.384495062789089	6.7194961295214295	8.0	4.0	4.0	3.0	0	0	1	0	1	10.7732956	106.7160926	5.428916192584584	4
1704	1	2.8903717578961645	5.3230099791384085	5.3230099791384085	8.0	4.0	4.0	1.0	1	0	1	0	2	10.78451	106.772792	10.31757984330294	3
1705	3	2.917770732084279	4.499809670330265	4.499809670330265	8.0	4.0	4.0	1.0	0	1	1	0	2	20.9882589	105.923019	11.982244761841342	2
1706	3	1.9315214116032138	3.871201010907891	5.480638923341991	8.0	4.0	4.0	5.0	0	0	1	1	2	21.0163449	105.8357421	2.4214617172778876	3
1707	3	2.2512917986064953	3.8066624897703196	5.752572638825633	8.0	4.0	4.0	7.0	1	0	0	0	1	21.0454641	105.8011445	3.0552508326362986	3
1708	1	2.995732273553991	4.605170185988092	5.991464547107982	8.0	4.0	4.0	4.0	0	0	1	1	2	10.7386836	106.6667136	7.914099567637318	3
1709	3	2.2300144001592104	3.912023005428146	5.298317366548036	7.0	4.0	3.0	4.0	1	0	0	1	2	21.0431373	105.8025354	2.7606932721305997	3
1710	3	1.3862943611198906	3.8066624897703196	5.41610040220442	8.0	4.0	4.0	5.0	0	0	0	1	1	20.9768608	105.7738328	6.293369392999313	3
1711	3	1.589235205116581	3.7376696182833684	5.123963979403259	8.0	4.0	4.0	4.0	1	0	1	1	3	21.0063339	105.8141542	1.5514427923798855	3
1712	3	2.5257286443082556	3.9889840465642745	5.598421958998375	11.0	5.0	6.0	5.0	1	0	1	1	3	21.0401833	105.8791	7.231376057537149	3
1713	3	3.091042453358316	4.418840607796598	6.028278520230698	9.0	5.0	4.0	5.0	0	0	1	0	1	21.0110439	105.8628054	5.291314843638255	3
1714	1	0.5596157879354227	4.0943445622221	4.787491742782046	6.0	2.0	4.0	2.0	0	0	0	0	0	10.9477668	106.855756	24.542881251440903	2
1715	3	2.4849066497880004	4.787491742782046	5.480638923341991	8.0	4.0	4.0	2.0	0	0	1	0	1	21.0225419	105.8525701	4.137273687215542	3
1716	1	1.2237754316221157	3.912023005428146	4.605170185988092	8.0	4.0	4.0	2.0	1	0	0	1	2	10.7854651	106.6043409	8.804382489364789	2
1717	1	1.7047480922384253	4.1588830833596715	4.852030263919617	8.0	4.0	4.0	2.0	0	0	0	1	1	10.7742792	106.6193948	7.770758216763755	2
1718	1	1.4816045409242156	4.1588830833596715	5.2574953720277815	7.0	3.0	4.0	3.0	1	0	0	0	1	10.8063327	106.6274077	5.912942446520294	3
1719	1	1.4929040961781488	4.0943445622221	4.787491742782046	8.0	4.0	4.0	2.0	0	0	0	1	1	10.774108	106.6099113	8.698131642397087	2
1720	1	0.26236426446749106	4.110873864173311	4.110873864173311	8.0	4.0	4.0	1.0	0	0	1	1	2	10.9682095	106.5058241	26.152150236680413	2
1721	1	3.091042453358316	5.0369526024136295	7.116394144093465	8.0	4.0	4.0	8.0	1	0	0	1	2	10.7667458	106.6836714	4.63307983470816	4
1722	3	2.122261538862764	3.912023005428146	5.521460917862246	8.0	4.0	4.0	5.0	0	0	0	1	1	20.9790436	105.7856479	5.376704616692136	3
1723	1	2.1041341542702074	4.174387269895637	5.560681631015528	6.0	3.0	3.0	4.0	0	0	0	1	1	10.8062863	106.7351281	5.861401426726905	3
1724	1	1.2947271675944	3.332204510175204	4.02535169073515	4.0	2.0	2.0	2.0	1	0	0	1	2	10.8503923	106.6529399	5.619555066827132	2
1725	1	1.589235205116581	3.4011973816621555	4.499809670330265	8.0	4.0	4.0	3.0	0	0	0	1	1	10.7743181	106.664413	4.220411912989501	2
1726	1	0.8329091229351039	3.8501476017100584	4.543294782270004	8.0	4.0	4.0	2.0	0	0	0	0	0	10.7368886	106.6148779	10.776116515570665	2
1727	1	1.589235205116581	3.4011973816621555	4.499809670330265	8.0	4.0	4.0	3.0	0	0	0	1	1	10.7697743	106.6648252	4.661102386127912	2
1728	3	2.302585092994046	4.442651256490317	5.8289456176102075	7.0	4.0	3.0	4.0	1	0	0	1	2	21.0033973	105.8478526	4.092786529094405	3
1729	1	3.1654750481410856	5.062595033026967	5.062595033026967	8.0	4.0	4.0	1.0	0	0	1	1	2	10.850085	106.7587215	9.625344593772688	3
1730	1	2.740840023925201	5.043425116919247	6.142037405587356	8.0	4.0	4.0	3.0	1	0	1	1	3	10.8296476	106.7329843	6.100560318217703	3
1731	3	1.7578579175523736	3.8918202981106265	5.278114659230517	8.0	4.0	4.0	4.0	1	0	0	1	2	20.9685307	105.7797786	6.6923346736085	3
1732	3	1.667706820558076	3.6375861597263857	5.247024072160486	8.0	4.0	4.0	5.0	1	0	0	1	2	20.9673225	105.778215	6.891217760638636	3
1733	3	1.0116009116784799	3.4011973816621555	4.499809670330265	8.0	4.0	4.0	3.0	1	0	0	1	2	20.9618129	105.7746311	7.608022071102257	2
1734	3	1.9878743481543455	4.174387269895637	5.783825182329737	8.0	4.0	4.0	5.0	1	0	1	0	2	21.0226721	105.7760929	3.818344798019003	3
1735	3	0.371563556432483	3.6888794541139363	5.480638923341991	9.0	4.0	5.0	6.0	0	0	1	1	2	21.0135222	105.7996539	1.5537942884756908	3
1736	3	1.3217558399823195	3.5553480614894135	4.653960350157523	7.0	4.0	3.0	3.0	0	0	1	0	1	20.9771229	105.8285074	5.063261468368134	2
1737	1	1.589235205116581	3.9889840465642745	4.944495491591711	7.0	4.0	3.0	2.0	1	0	0	1	2	10.8246392	106.8232402	15.585761111309735	2
1738	1	0.6931471805599453	4.499809670330265	4.68213122712422	6.0	2.0	4.0	1.0	1	0	0	1	2	10.9238652	106.8240907	20.184335968352567	2
1739	0	2.1162555148025524	3.912023005428146	3.912023005428146	2.0	1.0	1.0	1.0	0	0	1	1	2	20.8573026	106.6763301	1.5460362411778736	2
1740	1	1.599387576580599	3.828641396489095	4.5217885770490405	5.0	3.0	2.0	2.0	0	0	1	1	2	11.0835877	106.2664199	54.682045792643386	2
1741	1	2.128231705849268	4.143134726391533	5.529429087511423	9.0	4.0	5.0	4.0	1	0	0	0	1	10.8522523	106.6560869	5.615083477161836	3
1742	3	1.252762968495368	3.5553480614894135	4.941642422609304	8.0	4.0	4.0	4.0	0	0	1	1	2	21.0167393	105.80558	0.8426659542789537	2
1743	3	1.824549292051046	3.912023005428146	5.521460917862246	15.0	10.0	5.0	5.0	0	0	1	0	1	21.0092206	105.8165427	1.2845336697753913	3
1744	3	0.5877866649021191	2.70805020110221	4.0943445622221	4.0	2.0	2.0	4.0	0	0	0	0	0	21.0404324	105.7974922	2.7508838230113692	2
1745	0	1.410986973710262	3.713572066704308	5.099866427824199	7.0	4.0	3.0	4.0	0	0	0	1	1	20.8412306	106.6822061	1.7310706069151203	3
1746	3	1.7578579175523736	4.127134385045092	4.127134385045092	8.0	4.0	4.0	1.0	1	0	0	1	2	21.0536597	105.9001069	9.795218125939233	2
1747	3	1.3609765531356006	3.4965075614664802	4.882801922586371	7.0	4.0	3.0	4.0	0	0	0	1	1	21.0430504	105.7524869	6.75335960730028	2
1748	1	2.1041341542702074	4.23410650459726	5.62040086571715	14.0	7.0	7.0	4.0	0	1	0	1	2	10.7857033	106.6579085	3.6039419502870684	3
1749	3	1.62924053973028	4.31748811353631	5.703782474656201	8.0	4.0	4.0	4.0	0	0	0	1	1	21.0746682	105.972411	17.636640298594166	3
1750	3	1.9315214116032138	4.90527477843843	5.493061443340548	8.0	4.0	4.0	1.0	1	0	0	1	2	21.0855597	105.9729255	18.136480413575867	3
1751	3	2.5572273113676265	3.912023005428146	5.521460917862246	8.0	4.0	4.0	5.0	1	1	1	1	4	21.0365776	105.789353	3.036586086131558	3
1752	3	0.8329091229351039	3.4011973816621555	4.787491742782046	6.0	3.0	3.0	4.0	1	0	0	1	2	20.9357087	105.7318049	12.610249874663122	2
1753	1	1.252762968495368	3.912023005428146	4.605170185988092	3.0	2.0	1.0	2.0	1	1	0	0	2	10.8225578	106.7646132	9.213386318480412	2
1754	3	2.624668592163159	3.9512437185814275	3.9512437185814275	8.0	4.0	4.0	1.0	1	0	0	1	2	21.0189444	105.7925808	2.10218035573358	2
1755	1	2.5649493574615367	3.4011973816621555	3.4011973816621555	6.0	3.0	3.0	1.0	0	0	1	1	2	10.7651595	106.6770144	4.82840014723837	1
1756	1	2.174751721484161	4.02535169073515	5.123963979403259	8.0	4.0	4.0	3.0	0	0	1	1	2	10.805614	106.6365574	4.91877365425062	3
1757	1	1.7578579175523736	4.0943445622221	4.787491742782046	6.0	2.0	4.0	2.0	0	0	0	1	1	10.7740027	106.6485473	5.2490567750634485	2
1758	1	1.5040773967762742	3.8918202981106265	4.584967478670572	5.0	3.0	2.0	2.0	1	0	0	0	1	10.8514505	106.6561018	5.536946813112734	2
1759	1	0.5596157879354227	4.060443010546419	4.396915247167632	3.0	2.0	1.0	1.0	0	0	1	1	2	10.9507852	106.685136	15.84220600625382	2
1760	1	0.8544153281560676	4.0943445622221	4.787491742782046	4.0	2.0	2.0	2.0	0	0	0	1	1	10.7586187	106.706714	6.178298621136665	2
1761	3	2.5952547069568657	3.8501476017100584	5.796057750765372	8.0	4.0	4.0	7.0	1	0	1	1	3	21.0095298	105.8201699	1.415040736917609	3
1762	1	1.252762968495368	4.060443010546419	5.159055299214529	8.0	4.0	4.0	3.0	0	1	1	1	3	10.841115	106.7440638	7.742738703023673	3
1763	3	2.6100697927420065	4.356708826689592	5.7430031878094825	8.0	4.0	4.0	4.0	0	0	1	1	2	21.0268726	105.7463989	6.93013995056708	3
1764	3	2.4414770918606643	4.02535169073515	5.783209608287523	8.0	4.0	4.0	5.0	1	0	1	0	2	20.9816712	105.7851443	5.1590158342686365	3
1765	1	2.8903717578961645	6.040254711277414	8.34283980427146	42.0	38.0	4.0	10.0	0	0	0	1	1	10.8583453	106.7559842	9.851887149762723	5
1766	1	1.7578579175523736	4.3694478524670215	5.4680601411351315	9.0	4.0	5.0	3.0	1	0	0	1	2	10.7486693	106.7142292	7.538438504700893	3
1767	1	1.3737155789130306	4.0943445622221	4.787491742782046	4.0	2.0	2.0	2.0	1	0	0	1	2	10.1218894	105.7728863	125.28965130544657	2
1768	1	2.1400661634962708	4.1588830833596715	5.545177444479562	10.0	6.0	4.0	4.0	0	0	0	0	0	10.7537762	106.6480201	7.086133769138582	3
1769	3	1.208960345836975	3.4011973816621555	4.787491742782046	8.0	4.0	4.0	4.0	1	0	0	1	2	20.9770005	105.896559	9.936373677338228	2
1770	3	1.0818051703517284	3.4339872044851463	4.820281565605037	8.0	4.0	4.0	4.0	1	0	0	0	1	20.9863992	105.8781944	7.762101683305532	2
1771	3	1.599387576580599	3.8066624897703196	5.19295685089021	8.0	4.0	4.0	4.0	0	0	0	1	1	21.0021784	105.846738	4.055591637729277	3
1772	1	2.1972245773362196	5.043425116919247	7.122866658599083	8.0	4.0	4.0	8.0	0	0	0	1	1	10.8226293	106.8066725	13.762584513719146	4
