ID	Log price (1 billion VND)	Log area (square meters)	(Log) Bedrooms	(Log) WC	Parking	For rent	Infrastructure	Facade	(Log) Number of floors	Latitude	Longitude	Cluster	Distance_to_center_0	Distance_to_center_1
499	2.0412203288596382	3.871201010907891	0.6931471805599453	0.6931471805599453	0	0	1	1	0.1823215567939546	10.7926771	106.7118683	1	1057.5937790770138	8.425849126663486
1694	1.5686159179138452	4.31748811353631	1.3862943611198906	1.3862943611198906	0	0	1	0	1.0986122886681098	10.8221315	106.6867717	1	1054.188971895782	8.414522792201693
562	2.5494451709255714	3.713572066704308	1.0986122886681098	0.6931471805599453	1	0	1	0	0.6931471805599453	10.7614556	106.6621991	1	1060.8047003826407	14.595079070213894
2140	1.7047480922384253	3.9318256327243257	1.3862943611198906	1.0986122886681098	0	0	0	0	0.47000362924573563	10.824289	106.6812952	1	1053.9210621183697	8.864683176503346
88	1.0647107369924282	3.4657359027997265	1.3862943611198906	1.0986122886681098	0	0	0	0	1.0986122886681098	10.783504	106.6036111	1	1058.0865479765612	18.46203885258351
2732	1.5040773967762742	3.8918202981106265	1.0986122886681098	0.6931471805599453	1	0	0	0	0.6931471805599453	10.8514505	106.6561018	1	1050.7779384482967	10.956918089454465
400	1.667706820558076	5.703782474656201	1.0986122886681098	1.0986122886681098	0	0	0	0	0.6931471805599453	12.2383037	109.1634775	1	949.2979582231345	304.0398536037899
845	2.128231705849268	4.382026634673881	1.3862943611198906	1.6094379124341003	1	0	0	0	1.3862943611198906	10.8455062	106.6424867	1	1051.3729404021265	12.479141426264881
109	1.5040773967762742	3.784189633918261	1.3862943611198906	1.3862943611198906	0	0	0	0	1.6094379124341003	21.005389	105.8162083	0	89.25890830845768	1133.17500434321
826	1.2947271675944	4.634728988229636	1.791759469228055	1.791759469228055	1	1	1	0	0.8754687373538999	10.7699949	106.6886078	1	1059.9892877148225	11.967866815960381
635	1.9459101490553132	5.8522024797744745	1.6094379124341003	1.791759469228055	0	0	1	1	1.3862943611198906	10.7590489	106.5884939	1	1060.7405329266342	21.19120566161601
171	1.9740810260220096	3.871201010907891	1.3862943611198906	1.6094379124341003	1	0	1	0	1.1631508098056809	10.7454538	106.6902951	1	1062.7238115297716	14.11769653975102
2780	0.9932517730102834	4.174387269895637	1.0986122886681098	1.3862943611198906	1	1	1	0	0.5877866649021191	10.8306361	106.5710574	1	1052.7156684947313	20.413673766050593
2357	1.7227665977411035	4.276666119016055	1.3862943611198906	1.3862943611198906	0	0	0	0	1.0986122886681098	10.8660452	106.6429508	1	1049.0934443132567	12.452910406229455
2263	1.8562979903656263	4.442651256490317	1.3862943611198906	1.3862943611198906	0	0	1	1	0.0	16.0602404	108.2430235	0	517.2415293103193	600.7391909611913
2646	2.1400661634962708	5.356586274672012	1.3862943611198906	1.0986122886681098	0	0	0	0	0.6931471805599453	11.9486877	108.4789512	1	958.7931567464396	223.72820625030033
157	1.766441661243765	3.6635616461296463	1.3862943611198906	1.3862943611198906	1	1	0	0	1.1631508098056809	10.8287098	106.6369481	1	1053.2129223388995	13.356727128652087
920	1.7749523509116738	4.564348191467836	1.3862943611198906	1.3862943611198906	0	0	1	0	0.6931471805599453	10.7366339	106.6465326	1	1063.4867936349865	17.774443229473157
1734	0.9360933591703348	3.7376696182833684	1.3862943611198906	1.3862943611198906	0	0	1	0	0.0	20.979868	105.7439194	0	90.52960199432188	1131.0604242123788
